2020-01-23 11:44:23	Temperature 28.21	| Altitude : 30.08	| Pression : 1006.64	| Humidite : 55.16	| Feu : 0
2020-01-23 11:44:26	Temperature 28.22	| Altitude : 30.11	| Pression : 1006.63	| Humidite : 55.24	| Feu : 0
2020-01-23 11:44:29	Temperature 28.19	| Altitude : 30.06	| Pression : 1006.64	| Humidite : 55.18	| Feu : 0
2020-01-23 11:44:32	Temperature 28.20	| Altitude : 30.08	| Pression : 1006.63	| Humidite : 55.28	| Feu : 0
2020-01-23 11:44:36	Temperature 28.20	| Altitude : 30.12	| Pression : 1006.65	| Humidite : 55.10	| Feu : 0
2020-01-23 11:44:39	Temperature 28.20	| Altitude : 30.23	| Pression : 1006.65	| Humidite : 55.13	| Feu : 0
2020-01-23 11:44:43	Temperature 28.22	| Altitude : 30.17	| Pression : 1006.65	| Humidite : 55.09	| Feu : 0
2020-01-23 11:44:46	Temperature 28.21	| Altitude : 30.20	| Pression : 1006.64	| Humidite : 55.15	| Feu : 0
2020-01-23 11:44:49	Temperature 28.21	| Altitude : 30.12	| Pression : 1006.63	| Humidite : 55.27	| Feu : 0
2020-01-23 11:44:52	Temperature 28.21	| Altitude : 30.11	| Pression : 1006.64	| Humidite : 55.18	| Feu : 0
2020-01-23 11:44:55	Temperature 28.21	| Altitude : 30.12	| Pression : 1006.65	| Humidite : 55.10	| Feu : 0
2020-01-23 11:44:58	Temperature 28.22	| Altitude : 30.11	| Pression : 1006.68	| Humidite : 54.88	| Feu : 0
2020-01-23 11:47:18	Temperature 28.32	| Altitude : 40.35	| Pression : 1006.89	| Humidite : 53.05	| Feu : 0
2020-01-23 11:47:21	Temperature 28.25	| Altitude : 38.90	| Pression : 1006.64	| Humidite : 55.15	| Feu : 0
2020-01-23 11:47:24	Temperature 28.28	| Altitude : 36.17	| Pression : 1006.86	| Humidite : 53.38	| Feu : 0
